Activation Method,Armed Actors/ Security Personnel Casualties Total,Armed Actors/ Security Personnel Injured,Armed Actors/ Security Personnel Killed,Boys,Children,Civilian Casualties Total,Civilians Injured,Civilians Killed,Country,Date,Description,Girls,Launch Method,Location,Perpetrator Group Name,Perpetrator Status,Populated Area,Target,Weapon Type,Women
Suicide Attack,0,0,0,0,11,161,100,61,Pakistan,05-11-2010,Mosque bombing in North-West Pakistan,0,IED,Place Of Worship,Pakistani Taliban,Non-State Actors,Yes,Civilians,Non-specific IED,0
Suicide Attack,0,0,0,0,0,39,30,9,Afghanistan,05-11-2010,Suicide bomber kills nine in Afghan bazaar,0,IED,Market,Unknown,Unknown,Yes,State (unarmed),Non-specific IED,0
Suicide Attack,0,0,0,0,0,48,38,10,Iraq,08-11-2010,Car bomb in Karbala,0,IED,Public Transport,Unknown,Unknown,Yes,Civilians,Car Bomb,0
Suicide Attack,0,0,0,0,0,11,10,1,Iraq,08-11-2010,Car bombs in Najaf,0,IED,Public Transport,Unknown,Unknown,Yes,Civilians,Car Bomb,0
Victim-activated,4,2,2,0,0,3,3,0,India,08-11-2010,Two bomb disposal experts killed,0,IED,Commercial Premises,Unknown,Unknown,Yes,Not Reported,Non-specific IED,0
Suicide Attack,2,0,2,0,0,3,2,1,Bangladesh,13-11-2010,Bombing at the home of a Bangladeshi lawmaker,0,IED,Urban Residential,Unknown,Unknown,Yes,Not Reported,Non-specific IED,0
Suicide Attack,0,0,0,0,0,9,9,0,Pakistan,14-11-2010,Explosion at a busy market place in Pakistan,0,IED,Market,Unknown,Unknown,Yes,Not Reported,Non-specific IED,0
Suicide Attack,3,2,1,0,0,4,4,0,Iraq,15-11-2010,Car bomb on checkpoint in Mosul,0,IED,Police Station,Unknown,Unknown,Yes,Not Reported,Car Bomb,0
Remote Detonation,0,0,0,0,0,12,10,2,Afghanistan,14-11-2010,Bomb attached to motorcycle explodes in Spin Boldak,0,IED,Market,Unknown,Unknown,Yes,State (armed),Non-specific IED,0
Remote Detonation,0,0,0,0,6,10,9,1,Afghanistan,14-11-2010,Bomb placed in a wheel barrow in Jalalabad,0,IED,No Information,Unknown,Unknown,Unclear,Not Reported,Non-specific IED,2
Victim-activated,2,0,2,0,0,0,0,0,Iraq,15-11-2010,Two insurgents killed by a roadside bomb they were trying to plant,0,IED,No Information,Unknown,Unknown,Unclear,Not Reported,Roadside Bomb,0
Suicide Attack,0,0,0,0,0,1,0,1,Afghanistan,12-11-2010,Afghan civilian killed by IED near Camp Julien,0,IED,Armed Base,Unknown,Unknown,Unclear,Not Reported,Car Bomb,0
Victim-activated,0,0,0,0,2,2,1,1,Yemen,14-11-2010,Children killed by parcel bomb,0,IED,Urban Residential,Unknown,Unknown,Yes,Civilians,Non-specific IED,0
Remote Detonation,0,0,0,0,0,7,5,2,Afghanistan,16-11-2010,bomb targets Kunduz mayor,0,IED,Place Of Worship,Unknown,Unknown,Yes,State (unarmed),Non-specific IED,0
Remote Detonation,0,0,0,0,0,2,2,0,Philippines,21-11-2010,Motorcycle bomb explodes near school,0,IED,Road,Unknown,Unknown,Yes,Not Reported,Non-specific IED,0
Victim-activated,0,0,0,0,5,10,2,8,India,21-11-2010,Eight people killed by bridge bombing,0,IED,Transport Related Infrastructure,Maoist Rebels,Non-State Actors,Yes,Not Reported,Non-specific IED,0
Suicide Attack,1,0,1,0,0,0,0,0,Afghanistan,23-11-2010,"Suicide bomber dies, no other casualties",0,IED,Road,Unknown,Unknown,Unclear,Not Reported,Non-specific IED,0
Victim-activated,2,2,0,0,0,3,3,0,Afghanistan,22-11-2010,Three German soldiers injured in Kunduz,0,IED,Road,Taliban,Non-State Actors,Yes,Not Reported,Roadside Bomb,0
Suicide Attack,1,0,1,0,1,3,3,0,Afghanistan,24-11-2010,Three civilians injured by suicide blast,0,IED,Market,Unknown,Unknown,Yes,State (armed),Non-specific IED,1
Suicide Attack,1,0,1,0,0,38,15,23,Yemen,24-11-2010,Car bomb explosion hits shiite convoy,0,IED,Public Gathering,AQAP,Non-State Actors,Yes,Armed Groups,Car Bomb,0
Victim-activated,0,0,0,0,0,1,1,0,Russia,24-11-2010,Man injured by explosive device in Ingushetia,0,IED,No Information,Unknown,Unknown,Unclear,Not Reported,Non-specific IED,0
Victim-activated,0,0,0,2,3,3,1,2,India,25-11-2010,Two children killed by an explosive device,1,IED,Agricultural Land,Unknown,Unknown,Unclear,Not Reported,Non-specific IED,0
Remote Detonation,3,3,0,0,0,0,0,0,Pakistan,28-11-2010,Police van hit by roadside bomb,0,IED,Urban Residential,Unknown,Unknown,Yes,State (armed),Roadside Bomb,0
Suicide Attack,0,0,0,0,0,9,8,1,Yemen,26-11-2010,Car bomb at Yemen funeral,0,IED,Public Gathering,AQAP,Non-State Actors,Yes,Civilians,Car Bomb,0
Suicide Attack,25,13,12,0,0,0,0,0,Afghanistan,27-11-2010,Two bombers hit police building,0,IED,Police Station,Unknown,Unknown,Yes,State (armed),Non-specific IED,0
Suicide Attack,2,0,2,0,2,27,22,5,Pakistan,30-11-2010,Suicide attack in Bannu,0,IED,Market,Unknown,Unknown,Yes,State (armed),Car Bomb,0
Remote Detonation,5,5,0,0,0,0,0,0,Thailand,30-11-2010,Five policemen injured in southern Thailand,0,IED,Market,Unknown,Unknown,Yes,Not Reported,Non-specific IED,0
Timed Detonation,0,0,0,0,0,3,3,0,Malta,02-12-2010,Two people injured by explosion in Maltese office,0,IED,Public Building,Unknown,Unknown,Yes,Not Reported,Non-specific IED,0
Suicide Attack,2,0,2,0,0,148,100,48,Pakistan,06-12-2010,Suicide bombings in government compound,0,IED,Public Building,Pakistani Taliban,Non-State Actors,Yes,Civilians,Non-specific IED,0
Suicide Attack,3,0,3,0,0,20,18,2,Afghanistan,05-12-2010,Suicide attack on Afghan market,0,IED,Market,Taliban,Non-State Actors,Yes,Not Reported,Non-specific IED,0
Victim-activated,0,0,0,0,4,4,2,2,Iraq,06-12-2010,Two children killed by bombing in eastern Iraq,0,IED,Urban Residential,Unknown,Unknown,Yes,Not Reported,Non-specific IED,0
Suicide Attack,1,0,1,0,0,41,25,16,Pakistan,08-12-2010,Bomb explodes in a Kohat market,0,IED,Market,Pakistani Taliban,Non-State Actors,Yes,Civilians,Non-specific IED,0
Suicide Attack,4,4,0,0,0,5,5,0,Pakistan,07-12-2010,Nine people injured by suicide bomber in Quetta,0,IED,Road,Unknown,Unknown,Unclear,State (unarmed),Non-specific IED,0
Suicide Attack,1,0,1,0,0,2,2,0,Sweden,11-12-2010,Suicide bomber in Stockholm,0,IED,Commercial Premises,Unknown,Unknown,Yes,Not Reported,Non-specific IED,0
Suicide Attack,2,0,2,0,0,0,0,0,Afghanistan,08-12-2010,NATO soldier killed by suicide bombing,0,IED,No Information,Unknown,Unknown,Unclear,International Actor (armed),Non-specific IED,0
Suicide Attack,1,0,1,0,2,27,16,11,Pakistan,10-12-2010,Suicide car bomber attacks hospital ,0,IED,Hospital,Unknown,Unknown,Yes,Civilians,Car Bomb,0
Suicide Attack,6,0,6,0,0,57,50,7,Iraq,13-12-2010,Suicide car bomber in Anbar,0,IED,Public Building,Unknown,Non-State Actors,Yes,State (unarmed),Car Bomb,0
Suicide Attack,4,0,4,0,0,124,83,41,Iran,15-12-2010,Bomb explosion outside Iranian mosque,0,IED,Place Of Worship,Jundullah,Non-State Actors,Yes,Civilians,Non-specific IED,0
Suicide Attack,3,2,1,0,0,0,0,0,Pakistan,16-12-2010,Bomber kills himself and wounds two police officers,0,IED,Public Gathering,Unknown,Unknown,Yes,Civilians,Non-specific IED,0
Remote Detonation,1,1,0,0,3,9,6,3,Afghanistan,15-12-2010,Bomb attached to bicycle explodes in Kandahar,0,IED,Road,Unknown,Unknown,Unclear,Not Reported,Non-specific IED,0
Remote Detonation,4,3,1,0,0,1,1,0,Pakistan,24-12-2010,Bicycle bomb explodes in Quetta killing a policeman,0,IED,Urban Residential,Unknown,Unknown,Yes,Not Reported,Non-specific IED,0
Victim-activated,0,0,0,0,0,1,1,0,Italy,23-12-2010,Swiss embassy employee injured by parcel bomb,0,IED,Public Building,Informal Anarchist Federation,Non-State Actors,Yes,International Actor (armed),Non-specific IED,0
Suicide Attack,2,0,2,0,0,5,5,0,Afghanistan,23-12-2010,Suicide bomber attacks Kunduz checkpoint,0,IED,Town Centre,Unknown,Unknown,Yes,Not Reported,Non-specific IED,0
Victim-activated,0,0,0,0,0,1,1,0,Italy,23-12-2010,Official injured by parcel bomb at Chilean embassy in Rome,0,IED,Public Building,Informal Anarchist Federation,Non-State Actors,Yes,International Actor (armed),Non-specific IED,0
Suicide Attack,15,9,6,0,0,0,0,0,Afghanistan,19-12-2010,Bomb attack on bus carrying Afghan army officers,0,IED,Road,Taliban,Non-State Actors,Yes,State (armed),Non-specific IED,0
Suicide Attack,1,0,1,0,7,13,11,2,Afghanistan,18-12-2010,Suicide bombing in Kandahar city,0,IED,Road,Taliban,Non-State Actors,Unclear,State (unarmed),Car Bomb,0
Remote Detonation,0,0,0,0,1,10,10,0,Philippines,25-12-2010,IED blast in chapel,0,IED,Place Of Worship,Unknown,Unknown,Yes,Not Reported,Non-specific IED,1
Remote Detonation,0,0,0,0,2,3,3,0,Pakistan,24-12-2010,Bomb explodes in Peshawar classroom,0,IED,School,Unknown,Unknown,Yes,Not Reported,Non-specific IED,0
Victim-activated,0,0,0,0,0,15,15,0,Pakistan,28-12-2010,Karachi university hit by homemade bomb in cafeteria,0,IED,Public Building,Unknown,Unknown,Yes,Civilians,Non-specific IED,0
Victim-activated,0,0,0,0,0,1,1,0,Afghanistan,28-12-2010,Afghan civilian injured by IED,0,IED,No Information,Unknown,Unknown,Unclear,Not Reported,Non-specific IED,0
Suicide Attack,4,0,4,0,0,0,0,0,Iraq,30-12-2010,suicide bombers attack police headquarters in Bab Sinjar,0,IED,Police Station,Unknown,Unknown,Yes,State (armed),Non-specific IED,0
Victim-activated,0,0,0,0,0,3,3,0,Iraq,30-12-2010,three civilians wounded by roadside bomb in eastern Baghdad,0,IED,Road,Unknown,Unknown,Yes,Not Reported,Roadside Bomb,0
Victim-activated,0,0,0,0,0,1,0,1,Philippines,30-12-2010,Woman killed by IED made of three grenades,0,IED,Urban Residential,Unknown,Unknown,Yes,Civilians,Non-specific IED,1
Suicide Attack,3,2,1,0,0,5,5,0,Afghanistan,28-12-2010,Two Afghan soldiers killed and one injured in suicide bomb,0,IED,No Information,Unknown,Unknown,Unclear,State (armed),Non-specific IED,0
Victim-activated,0,0,0,0,0,18,4,14,Afghanistan,30-12-2010,Roadside bomb kills 14 in Afghan minibus,0,IED,Road,Unknown,Unknown,Unclear,Not Reported,Roadside Bomb,0
Multiple Modes Of Detonation,0,0,0,0,0,2,2,0,Mali,05-01-2011,Explosion at French embassy in Mali,0,IED,Public Building,Unknown,Unknown,Yes,International Actor (unarmed),Non-specific IED,0
Victim-activated,0,0,0,0,0,3,2,1,India,06-01-2011,Man killed and two women injured by bomb at West Bengal railway station,0,IED,Transport Related Infrastructure,Unknown,Unknown,Yes,Not Reported,Non-specific IED,2
Remote Detonation,0,0,0,0,2,23,17,6,Guatemala,03-01-2011,6 people killed by bus bomb in Guatemala city,0,IED,Transport Related Infrastructure,Mara 18,Non-State Actors,Unclear,Not Reported,Non-specific IED,1
Victim-activated,2,1,1,0,0,2,2,0,Afghanistan,04-01-2011,Policeman killed by bomb explosion in Kabul,0,IED,Public Building,Unknown,Unknown,Yes,Not Reported,Non-specific IED,0
Remote Detonation,0,0,0,0,0,2,2,0,Somalia,03-01-2011,Bomb injures civilians in Galka'yo,0,IED,No Information,Unknown,Unknown,Unclear,State (unarmed),Roadside Bomb,0
Timed Detonation,0,0,0,0,0,5,4,1,Afghanistan,03-01-2011,Explosion outside Herat butchers,0,IED,Commercial Premises,Unknown,Unknown,Yes,Civilians,Non-specific IED,0
Suicide Attack,5,4,1,0,0,96,75,21,Egypt,01-01-2011,Suicide bomber attacks Alexandria church,0,IED,Place Of Worship,Unknown,Unknown,Yes,Civilians,Non-specific IED,0
Remote Detonation,6,4,2,0,0,4,4,0,Thailand,01-01-2011,Two bomb squad policemen killed by homemade bomb,0,IED,Market,Unknown,Unknown,Yes,Not Reported,Non-specific IED,0
Remote Detonation,0,0,0,0,5,12,12,0,Pakistan,04-01-2011, Children wounded in bomb blast which hits bus,0,IED,School,Unknown,Unknown,Yes,Not Reported,Non-specific IED,0
Victim-activated,0,0,0,0,0,3,0,3,Afghanistan,04-01-2011,Three civilians killed by roadside bomb,0,IED,Road,Unknown,Unknown,Unclear,Not Reported,Roadside Bomb,0
Victim-activated,1,1,0,0,0,0,0,0,Afghanistan,30-12-2010,NATO soldier injured by IED explosion in Kandahar,0,IED,Road,Unknown,Unknown,Unclear,Not Reported,Roadside Bomb,0
Victim-activated,0,0,0,0,0,3,2,1,Pakistan,31-12-2010,Bomb explodes outside Lakki Marwat police headquarters,0,IED,Police Station,Unknown,Unknown,Yes,State (armed),Non-specific IED,0
Suicide Attack,4,2,2,0,0,35,19,16,Afghanistan,07-01-2011,17 people killed in public bath explosion,0,IED,Entertainment,Unknown,Unknown,Yes,State (armed),Non-specific IED,0
Victim-activated,0,0,0,0,1,9,0,9,Afghanistan,16-01-2011,Nine civilians killed in Baghlan,0,IED,Road,Unknown,Unknown,Unclear,Not Reported,Roadside Bomb,6
Victim-activated,0,0,0,0,0,7,0,7,Afghanistan,14-01-2011,Seven taxi drivers killed by IED,0,IED,Road,Unknown,Unknown,Unclear,Civilians,Non-specific IED,0
Suicide Attack,0,0,0,0,0,217,150,67,Iraq,18-01-2011,Suicide bomb attack on Iraqi police recruits,0,IED,Police Station,Unknown,Unknown,Yes,State (armed),Non-specific IED,0
Remote Detonation,4,4,0,0,0,1,1,0,Paraguay,16-01-2011,Backpack bomb injures five people,0,IED,Police Station,Paraguayan People's Army,Non-State Actors,Yes,State (armed),Non-specific IED,0
Suicide Attack,5,0,5,0,0,3,3,0,Iraq,17-01-2011,Four security men killed by car bomb ,0,IED,Road,Unknown,Unknown,Yes,State (unarmed),Car Bomb,0
Suicide Attack,29,17,12,0,0,25,17,8,Pakistan,12-01-2011,Suicide bomber attacks mosque near police station in NW Pakistan,0,IED,Police Station,Pakistani Taliban,Non-State Actors,Yes,State (armed),Car Bomb,0
Suicide Attack,8,6,2,0,0,27,26,1,Afghanistan,12-01-2011,suicide bomber targets Afghan intelligence service,0,IED,Road,Taliban,Non-State Actors,Yes,State (armed),Non-specific IED,0
Remote Detonation,0,0,0,0,0,2,0,2,Afghanistan,12-01-2011,Intelligence chief and his driver killed in Kunar,0,IED,Road,Taliban,Non-State Actors,Unclear,State (armed),Non-specific IED,0
Suicide Attack,3,0,3,0,0,1,0,1,Afghanistan,10-01-2011,Three killed by IED in Spin Boldak,0,IED,Road,Taliban,Non-State Actors,Unclear,State (armed),Car Bomb,0
Suicide Attack,1,0,1,0,3,77,64,13,Iraq,19-01-2011,13 people killed in attack against Iraqi police,0,IED,Police Station,Unknown,Unknown,Yes,State (armed),Car Bomb,0
Suicide Attack,4,3,1,0,0,15,13,2,Iraq,19-01-2011,Suicide car bomber targets shiite pilgrims,0,IED,Public Gathering,Unknown,Unknown,Yes,Civilians,Car Bomb,0
Remote Detonation,6,5,1,0,0,0,0,0,Pakistan,13-01-2011,Police van hit by roadside bomb,0,IED,Road,Unknown,Unknown,Yes,State (armed),Non-specific IED,0
Suicide Attack,0,0,0,0,0,202,150,52,Iraq,20-01-2011,Car bombers attack Shiite pilgrims killing 52 people,0,IED,Public Gathering,Unknown,Non-State Actors,Yes,Civilians,Car Bomb,0
Suicide Attack,12,9,3,0,0,26,24,2,Iraq,20-01-2011,Suicide car bomb targets police checkpoint killing four people,0,IED,Police Station,Unknown,Unknown,Yes,State (armed),Car Bomb,0
Remote Detonation,4,2,2,0,0,0,0,0,Afghanistan,21-01-2011,IED attached to a bicylce kills two bodyguards,0,IED,Road,Unknown,Unknown,Yes,Not Reported,Non-specific IED,0
Suicide Attack,1,0,1,0,0,22,14,8,Pakistan,28-01-2011,Eight people killed and 14 others injured in Kohat tunnel bombing,0,IED,Transport Related Infrastructure,Pakistani Taliban,Non-State Actors,Unclear,Not Reported,Non-specific IED,2
Victim-activated,0,0,0,4,4,5,5,0,India,30-01-2011,four children injured in bomb explosion,0,IED,Other,Unknown,Unknown,Unclear,Not Reported,Non-specific IED,1
Suicide Attack,3,2,1,0,0,5,4,1,Afghanistan,29-01-2011,Deputy provincial governor killed in Kandahar,0,IED,Road,Taliban,Non-State Actors,Yes,State (unarmed),Non-specific IED,0
Suicide Attack,9,5,4,0,0,9,8,1,Pakistan,31-01-2011,Bombing targets police van in Peshawar,0,IED,Road,Pakistani Taliban,Non-State Actors,Yes,State (armed),Non-specific IED,0
Suicide Attack,1,0,1,0,0,204,168,36,Russia,24-01-2011,Bombing of Moscow airport kills 36 people,0,IED,Transport Related Infrastructure,Unknown,Unknown,Yes,Civilians,Non-specific IED,0
Suicide Attack,9,7,2,0,0,24,23,1,Iraq,20-01-2011,Suicide bomber kills three people in Baquba,0,IED,Police Station,Unknown,Unknown,Yes,State (armed),Car Bomb,2
Remote Detonation,4,3,1,0,0,1,1,0,Pakistan,31-01-2011,Police constable killed and four people injured in Peshawar,0,IED,Road,Unknown,Unknown,Yes,State (armed),Non-specific IED,0
Remote Detonation,1,1,0,0,0,28,26,2,Pakistan,03-02-2011,Bomb blast at Sufi shrine in Lahore,0,IED,Place Of Worship,Unknown,Unknown,Yes,Civilians,Non-specific IED,0
Remote Detonation,0,0,0,0,2,4,4,0,Afghanistan,04-02-2011,4 civilians injured by roadside bomb,0,IED,Urban Residential,Unknown,Unknown,Yes,State (armed),Roadside Bomb,1
Multiple Modes Of Detonation,14,6,8,0,0,13,13,0,Iraq,03-02-2011,Bombing is Ramadi,0,IED,Town Centre,Unknown,Unknown,Yes,Not Reported,Multiple Explosive Weapons,0
Remote Detonation,1,1,0,0,0,0,0,0,Thailand,01-02-2011,Police officer wounded by bomb in Narathiwat,0,IED,Agricultural Land,Unknown,Unknown,Unclear,Not Reported,Roadside Bomb,0
Suicide Attack,1,0,1,0,0,2,2,0,Afghanistan,04-02-2011,Two women injured by car bomb,0,IED,Urban Residential,Unknown,Unknown,Yes,State (armed),Non-specific IED,2
Suicide Attack,3,3,0,0,0,0,0,0,Iraq,03-02-2011,Three police officers wounded south of Samarra,0,IED,No Information,Unknown,Unknown,Unclear,State (armed),Non-specific IED,0
Suicide Attack,4,0,4,0,0,0,0,0,Mauritania,05-02-2011,Four al-Qaeda operatives killed during attempted attack on President,0,IED,No Information,AQIM,Non-State Actors,Unclear,State (unarmed),Non-specific IED,0
Multiple Modes Of Detonation,3,0,3,0,1,98,90,8,Iraq,09-02-2011,Car bomb attacks target Kurdish militia ,0,IED,Multiple (urban),Unknown,Unknown,Yes,State (armed),Car Bomb,2
Suicide Attack,3,0,3,0,0,2,2,0,Afghanistan,14-02-2011,Two people killed in Kabul bombing,0,IED,Commercial Premises,Taliban,Non-State Actors,Yes,Not Reported,Non-specific IED,0
Suicide Attack,4,2,2,0,0,47,38,9,Afghanistan,18-02-2011,Car bomb in busy market kills 11 people and injures 40,0,IED,Market,Taliban,Non-State Actors,Yes,State (armed),Car Bomb,0
Remote Detonation,1,0,1,0,0,1,0,1,Afghanistan,17-02-2011,Two people killed by remote controlled IED,0,IED,Market,Unknown,Unknown,Yes,Not Reported,Non-specific IED,0
Victim-activated,0,0,0,0,0,1,1,0,Thailand,17-02-2011,rubber tapper wounded by IED,0,IED,Agricultural Land,Unknown,Unknown,Unclear,Not Reported,Non-specific IED,0
Multiple Modes Of Detonation,8,6,2,0,0,17,17,0,Russia,15-02-2011,Policemen killed in Dagestan,0,IED,Multiple (urban),Unknown,Unknown,Yes,State (armed),Multiple Explosive Weapons,0
Suicide Attack,0,0,0,0,0,128,80,48,Iraq,12-02-2011,48 people killed by bomb targeting Shiite Pilgrims,0,IED,Transport Related Infrastructure,Unknown,Unknown,Yes,Civilians,Non-specific IED,0
Suicide Attack,68,40,28,0,0,0,0,0,Pakistan,10-02-2011,Soldiers killed and injured by teenage bomber,0,IED,Armed Base,Pakistani Taliban,Non-State Actors,Unclear,State (armed),Non-specific IED,0
Remote Detonation,0,0,0,0,6,48,39,9,Iraq,10-02-2011,Nine Shiite pilgrims killed by car bomb,0,IED,Public Gathering,Unknown,Unknown,Yes,Civilians,Car Bomb,0
Suicide Attack,2,1,1,0,0,11,5,6,Afghanistan,10-02-2011,District governor and six others killed ,0,IED,Public Building,Taliban,Non-State Actors,Yes,State (unarmed),Non-specific IED,0
Suicide Attack,1,0,1,0,0,8,5,3,Afghanistan,07-02-2011,Attack on Kandahar customs house kills interpreter and a US custom officer,0,IED,Public Building,Taliban,Non-State Actors,Yes,Not Reported,Non-specific IED,0
Victim-activated,0,0,0,5,6,8,8,0,India,17-02-2011,Six children injured by bomb in schoolbag,0,IED,Village,Individual,Non-State Actors,Yes,Civilians,Non-specific IED,0
Remote Detonation,3,3,0,0,0,0,0,0,Pakistan,08-02-2011,Three police officers injured,0,IED,Police Station,Unknown,Unknown,Yes,Not Reported,Non-specific IED,0
Suicide Attack,31,18,13,0,0,0,0,0,Iraq,21-02-2011,12 killed in Samarra bombing,0,IED,Armed Base,Unknown,Unknown,Unclear,State (armed),Car Bomb,0
Suicide Attack,1,0,1,0,0,70,39,31,Afghanistan,21-02-2011,Bomb blast at government building,0,IED,Public Building,Taliban,Non-State Actors,Yes,State (armed),Non-specific IED,0
Suicide Attack,14,0,14,0,0,24,20,4,Somalia,21-02-2011,Somali police station hit by bomber,0,IED,Police Station,Al Shabaab,Non-State Actors,Yes,State (armed),Car Bomb,0
Suicide Attack,0,0,0,0,0,36,24,12,Iraq,25-02-2011,12 killed by bomber at cultural centre celebrations,0,IED,Public Gathering,Unknown,Unknown,Yes,Civilians,Non-specific IED,0
Victim-activated,0,0,0,0,4,4,4,0,India,01-03-2011,four children injured in bomb explosion,0,IED,No Information,Unknown,Unknown,Unclear,Not Reported,Non-specific IED,0
Suicide Attack,1,0,1,0,5,23,19,4,Afghanistan,26-02-2011,Four people killed by bomber at sports field,0,IED,Public Gathering,Unknown,Unknown,Yes,Not Reported,Non-specific IED,0
Suicide Attack,8,7,1,0,0,16,15,1,Afghanistan,24-02-2011,Car bombing in Spin Boldak injures dozens,0,IED,Market,Taliban,Non-State Actors,Yes,Not Reported,Car Bomb,0
Remote Detonation,6,4,2,0,0,0,0,0,Pakistan,22-02-2011,Two soldiers killed and four wounded by roadside bomb fixed on motorcylce,0,IED,Road,Unknown,Unknown,Yes,State (armed),Roadside Bomb,0
Suicide Attack,4,0,4,0,4,40,35,5,Pakistan,03-03-2011,Car bomb in densely populated area,0,IED,Road,Pakistani Taliban,Non-State Actors,Yes,State (armed),Car Bomb,15
Timed Detonation,0,0,0,0,5,51,40,11,Pakistan,04-03-2011,Large bomb at Friday prayers,0,IED,Place Of Worship,Unknown,Unknown,Yes,Civilians,Non-specific IED,0
Remote Detonation,6,6,0,0,0,0,0,0,Afghanistan,03-03-2011,Two NATO soldiers injured in Kandahar,0,IED,Road,Unknown,Unknown,Unclear,International Actor (armed),Roadside Bomb,0
Victim-activated,0,0,0,0,0,1,1,0,West Bank,06-03-2011,Worker injured by pipe bomb,0,IED,Road,Unknown,Unknown,Yes,Not Reported,Non-specific IED,0
Victim-activated,1,0,1,0,0,0,0,0,Russia,09-03-2011,Man throws homemade bomb at police and kills himself,0,IED,School,Unknown,Unknown,Yes,State (armed),Non-specific IED,0
Suicide Attack,29,20,9,0,0,8,6,2,Iraq,03-03-2011,Man detonates explosive belt at Rafidain bank during salary collection,0,IED,Commercial Premises,Unknown,Unknown,Yes,Not Reported,Non-specific IED,0
