Activation Method,Armed Actors/ Security Personnel Casualties Total,Armed Actors/ Security Personnel Injured,Armed Actors/ Security Personnel Killed,Boys,Children,Civilian Casualties Total,Civilians Injured,Civilians Killed,Country,Date,Description,Girls,Launch Method,Location,Perpetrator Group Name,Perpetrator Status,Populated Area,Target,Weapon Type,Women
Suicide Attack,3,1,2,0,0,7,4,3,Afghanistan,31-10-2011,Four killed in attack at UNHCR compound,0,IED,Humanitarian Infrastructure,Taliban,Non-State Actors,Yes,International Actor (unarmed),Car Bomb,0
Victim-activated,1,1,0,0,0,0,0,0,Thailand,31-10-2011,Man loses leg to bomb in village,0,IED,Road,Unknown,Unknown,Unclear,Not Reported,Non-specific IED,0
Victim-activated,0,0,0,2,2,2,2,0,Thailand,31-10-2011,Two boys receive serious leg injuries in plantation,0,IED,Agricultural Land,Unknown,Unknown,Unclear,Not Reported,Non-specific IED,0
Suicide Attack,3,1,2,0,0,3,3,0,Pakistan,28-10-2011,Man detonates IED killing two police in passing vehicle,0,IED,Market,Pakistani Taliban,Non-State Actors,Yes,State (armed),Non-specific IED,0
Suicide Attack,1,0,1,0,0,0,0,0,Kazakhstan,31-10-2011,Man dies outside governor's office,0,IED,Public Building,Jund Al-Khilafah,Non-State Actors,Yes,State (unarmed),Non-specific IED,0
Remote Detonation,0,0,0,0,0,13,12,1,Pakistan,01-11-2011,Man killed by remote-controlled bomb in market,0,IED,Market,Unknown,Unknown,Yes,Civilians,Car Bomb,0
Remote Detonation,0,0,0,0,0,7,1,6,Thailand,02-11-2011,Bomb ambushes car killing six,0,IED,Road,Unknown,Unknown,Unclear,Not Reported,Roadside Bomb,0
Remote Detonation,8,6,2,0,0,0,0,0,Pakistan,02-11-2011,Two security officials killed,0,IED,Road,Unknown,Unknown,Unclear,Not Reported,Non-specific IED,0
Victim-activated,1,1,0,0,0,0,0,0,Afghanistan,31-10-2011,US soldier loses both legs stepping on IED,0,IED,No Information,Unknown,Unknown,Unclear,Not Reported,Non-specific IED,0
Victim-activated,3,0,3,0,0,0,0,0,Afghanistan,02-10-2011,Three Afghan security forces killed in vehicle,0,IED,Road,Unknown,Unknown,Unclear,Not Reported,Roadside Bomb,0
Suicide Attack,32,25,7,0,0,10,10,0,Iraq,03-11-2011,IEDs kill six milita members outside barracks,0,IED,Armed Base,Unknown,Unknown,Unclear,Armed Groups,Multiple Explosive Weapons,0
Suicide Attack,2,0,2,0,0,11,9,2,Pakistan,07-11-2011,IED targeting politician's vehicle kills three,0,IED,Place Of Worship,Unknown,Unknown,Yes,State (unarmed),Non-specific IED,0
Victim-activated,6,6,0,0,0,0,0,0,Philippines,07-11-2011,Six soldiers on village patrol wounded by shrapnel,0,IED,Village,Abu Sayyaf,Non-State Actors,Yes,State (armed),Non-specific IED,0
Suicide Attack,3,0,3,0,0,0,0,0,Nigeria,04-11-2011,Attack on security headquarters kills three,0,IED,Armed Base,Boko Haram,Non-State Actors,Unclear,State (armed),Non-specific IED,0
Remote Detonation,2,2,0,0,0,0,0,0,Thailand,03-11-2011,Two soldiers badly injured travelling to temple,0,IED,Road,Unknown,Unknown,Yes,Not Reported,Roadside Bomb,0
Suicide Attack,3,0,3,0,0,23,18,5,Afghanistan,06-11-2011,IED kills seven woshippers leaving mosque,0,IED,Place Of Worship,Unknown,Unknown,Yes,Not Reported,Non-specific IED,0
Suicide Attack,6,5,1,0,0,1,1,0,Afghanistan,07-11-2011,Six injured in attack on local elder's house,0,IED,Urban Residential,Unknown,Unknown,Yes,Civilians,Non-specific IED,0
